bedrooms,bathrooms,stories,mainroad,guestroom,basement,airconditioning,parking,furnishingstatus,price_scaled,area_scaled
2,1,1,1,0,0,0,0,0,-1.6128450351743382,-0.7052727304487698
3,1,1,0,0,0,0,0,2,-1.6128450351743382,-1.0324404087866506
3,1,2,1,0,0,0,0,0,-1.6128450351743382,-0.5992888346491747
3,1,1,0,0,0,0,0,1,-1.6036760676992923,-1.2674481777335789
2,1,1,1,0,1,0,2,0,-1.5754206781333344,-0.9909684495607219
2,1,1,0,0,0,0,1,0,-1.5567084996128326,-0.9955764450302695
3,1,2,1,0,0,0,0,0,-1.5379963210923309,-1.590007860601912
2,1,1,1,0,0,0,0,0,-1.5379963210923309,-0.6919095435870818
5,1,2,0,0,0,0,0,0,-1.500571964051327,-0.7974326398397221
3,1,2,1,0,0,0,0,0,-1.4257232499693195,-1.2674481777335789
4,1,2,1,0,0,0,0,0,-1.4257232499693195,-0.9909684495607219
2,1,1,1,0,0,0,1,0,-1.4257232499693195,-0.8250806126570078
2,1,1,0,0,0,0,0,0,-1.4070110714488178,-0.9909684495607219
3,1,1,0,0,0,1,0,0,-1.3546169715914125,0.06887050843522939
3,1,1,0,0,0,0,0,0,-1.3508745358873122,-1.4748079738632214
2,1,1,0,0,1,0,0,1,-1.3321623573668104,-1.5273391222160642
1,1,1,0,0,0,0,0,0,-1.3321623573668104,-0.5439928890146033
3,1,2,1,0,1,0,0,0,-1.3321623573668104,-0.5439928890146033
2,1,1,1,0,0,0,0,0,-1.3134501788463084,-0.9080245311088648
2,1,1,1,0,0,0,0,0,-1.2947380003258067,-0.6960567395096746
3,1,2,1,0,0,0,0,2,-1.2760258218053047,-1.2328882117119717
4,2,2,1,0,0,0,0,2,-1.2760258218053047,-1.089118753062086
2,1,1,1,0,0,0,0,0,-1.2760258218053047,-0.869317369164665
2,1,1,0,0,0,0,0,0,-1.2610560789889034,-0.6983607372444485
3,1,2,1,0,1,0,0,0,-1.238601464764301,-0.894200544700222
2,1,1,0,1,0,0,1,0,-1.238601464764301,-0.8803765582915792
2,1,1,1,0,0,0,1,0,-1.238601464764301,-0.9909684495607219
2,1,1,1,1,0,0,0,0,-1.238601464764301,-0.7605686760833412
2,1,2,1,0,0,0,0,0,-1.238601464764301,-0.14309728316396086
2,1,1,1,0,0,0,0,0,-1.238601464764301,1.174789421126657
3,1,2,1,0,0,0,0,0,-1.219889286243799,-0.34584908382405594
3,1,2,0,0,0,0,0,1,-1.219889286243799,-0.9909684495607219
3,1,1,0,0,0,0,0,0,-1.2011771077232973,-1.0462643951952932
3,1,1,0,0,0,0,0,0,-1.2011771077232973,-0.9080245311088648
2,1,2,1,0,0,0,0,2,-1.2011771077232973,-0.9909684495607219
2,1,1,1,0,0,0,0,0,-1.1637527506822936,-0.7144887213878651
2,1,1,1,0,0,0,0,0,-1.1637527506822936,-0.34584908382405594
2,2,2,1,0,1,0,1,2,-1.1637527506822936,-0.7144887213878651
